#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B81678
#Date Time: 2025-11-07 16:43:23.169
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 4097
#Rate: 40000 Hz
#Samples: 8192
#Channel: C1
#Type: Peak Hold Continuous
#Window: Flat Top
#Channel: C1
#Range: 5.43531 V
#Offset: -0.000212314 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.42122 V
#Offset: 0.000158598 V
#Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#2,4kHz
#raw
#
Frequency (Hz),Trace 1 (V),Phase (deg)
0,0.005742334688683816,0
4.8828125,0.005535433778459906,0.2240546926718456
9.765625,0.003805588488423723,0.6928767881644051
14.6484375,0.001364885072639649,0.2342756569104856
19.53125,0.0004495529938931808,157.5254311735153
24.4140625,0.0003150267075724856,131.2017219555547
29.296875,0.0002453737498068596,133.1886921007114
34.1796875,0.0002672579542751002,137.9818703489628
39.0625,0.0002777564338202902,141.5263779939679
43.9453125,0.0002625942417508855,151.0091071653328
48.828125,0.0002936583608925918,163.4803674869121
53.7109375,0.0002891395508631793,121.2728569474582
58.59375,0.0002819137055393421,173.8448961051788
63.4765625,0.0003011094361065715,148.5545328512831
68.359375,0.0002858305111440677,140.097330308046
73.2421875,0.0002721711934566821,137.4076120616237
78.125,0.000318650213579103,151.6442473119096
83.0078125,0.0003366089009883504,15.92837796001069
87.890625,0.0003313701520074505,21.48611343844841
92.7734375,0.0002999150562064485,11.62906558754014
97.65625,0.0002660581435104543,170.9487618341168
102.5390625,0.000256238363045608,123.4620531469178
107.421875,0.0002748651934823773,96.09741160900252
112.3046875,0.0003221484221391986,59.86837961315269
117.1875,0.000313052791016046,128.9878482800056
122.0703125,0.0002915561544350124,98.95446786116264
126.953125,0.0002615417509975029,91.21775660960763
131.8359375,0.0002742281574086393,90.03368194102767
136.71875,0.0002824430810272801,95.27265322436682
141.6015625,0.0002842512417039591,106.4114690423912
146.484375,0.0002885608172931225,116.1006026530382
151.3671875,0.0003001442568277763,112.0918172714123
156.25,0.0003264385773252637,99.3147236505726
161.1328125,0.0003392497491751519,77.36919706280079
166.015625,0.0006314992922322978,48.6558770152456
170.8984375,0.001433939077136316,3.801397830404955
175.78125,0.002255670453533233,146.2248496969758
180.6640625,0.002610678863591693,155.3481546427382
185.546875,0.002309861720977646,167.270330800508
190.4296875,0.001577255713845938,178.1751028136395
195.3125,0.0007864686153475323,7.135799308040098
200.1953125,0.0003823263867306653,6.334601805944798
205.078125,0.0002722526764008504,8.293324775880444
209.9609375,0.0003040204849878335,49.61792457425778
214.84375,0.0002805792667777232,78.95742211915312
219.7265625,0.0002666367082427977,79.51460141390169
224.609375,0.0002849818171609817,66.06193141721258
229.4921875,0.0002646039292054537,37.55356270200304
234.375,0.0002577629543238935,115.0467887797367
239.2578125,0.0002894719849659879,82.45579872184065
244.140625,0.0003094796365551258,61.22610162907183
249.0234375,0.0003000911643653734,39.46542901963031
253.90625,0.0002585987416833559,4.790076521698237
258.7890625,0.0003006561039753506,144.2370935263017
263.671875,0.0003391913600965666,114.4400957827676
268.5546875,0.0003299346378300368,119.6777817489644
273.4375,0.0002795388213768593,38.11614324073288
278.3203125,0.0003705392028958855,28.06857917814306
283.203125,0.000392592101798358,20.03296959372919
288.0859375,0.0003333761199363741,7.776263785893949
292.96875,0.0003120571967531903,97.42171265085251
297.8515625,0.0003288423375574149,24.19107064212396
302.734375,0.0003109339995714282,17.03409867400219
307.6171875,0.0002483112870426776,21.00110134899192
312.5,0.0002474810093576307,28.04201962130342
317.3828125,0.0002597392131430306,41.854587203951
322.265625,0.000263012028894587,73.12407631434674
327.1484375,0.0002717559267178589,108.5662143112259
332.03125,0.0002860292870421999,134.0156210849333
336.9140625,0.000331198427823496,159.2496752084446
341.796875,0.0003497649674012357,172.6140893741118
346.6796875,0.0003217036660834339,168.8618447699581
351.5625,0.0002701150656488213,169.2045938960012
356.4453125,0.0002401117644635657,155.2090618021543
361.328125,0.0002649335536484516,157.6273850982106
366.2109375,0.0002968979334844315,2.319836517407161
